size, time
600,1.041
600,1.047
1000,7.372
1000,7.407
1400,26.131
1400,26.051
1800,58.572
1800,58.539
2200,110.045
2200,110.236
2600,185.547
2600,186.568
3000,290.478
3000,289.831
