size,time,l1,l2,flops
4096,8.208,2936215970,3030546639,22917677057
4096,8.303,2935998579,3015446313,22917677057
6144,29.676,9916086932,10586119620,77309411329
6144,29.308,9923390029,10689543615,77309411329
8192,71.055,23514834070,26877640318,183341416449
8192,73.569,23494436963,28034125885,183341416449
10240,143.381,45859368521,60811673138,357983846401
10240,146.097,45846107411,61210691741,357983846401
