size,time,l1,l2,flops
4096,11.675,3204284697,3228619832,22917677057
4096,12.375,3204177232,3200934460,22917677057
6144,39.303,10604904650,11018263251,77309411329
6144,38.929,10605670799,11060419352,77309411329
8192,93.389,24866842897,27504669076,183341416449
8192,91.776,24889752476,27706237602,183341416449
10240,178.285,48295620094,56340636918,357983846401
10240,181.272,48185257498,56542459282,357983846401
