size,time,l1,l2,flops
4096,7.373,2200879704,2125800597,17179869185
4096,7.332,2200720140,2112504084,17179869185
6144,33.503,7423997711,7141531979,57982058497
6144,32.786,7427029464,7176531961,57982058497
8192,88.075,17573308851,17254849607,137438953473
8192,92.406,17567859376,17168337690,137438953473
10240,194.503,34259340584,36565694820,268435456001
10240,188.297,34267491455,38853500646,268435456001
