size,time,l1,l2
4096,41.9645,17542327778,16231919075
4096,41.1402,17530573976,16141945960
6144,139.387,59132712253,54520757030
6144,140.059,59140474227,54387147054
8192,334.497,140175979298,130382327543
8192,337.714,140226426983,131057438259
10240,652.052,273540569324,255620225863
10240,648.706,273494508658,256177797641
