size,time,l1,l2,flops
4096,10.107,2388758350,2320412691,17179869185
4096,10.317,2396040796,2324620667,17179869185
6144,37.336,7899441753,7964431811,57982058497
6144,40.867,7898942387,7834852892,57982058497
8192,89.772,18558811232,19775770047,137438953473
8192,86.789,18577466634,20162849888,137438953473
10240,182.936,35877466695,41165002975,268435456001
10240,162.026,34961129876,40281442609,268435456001
