size,time,l1,l2,flops
4096,11.469,4405825210,4322509613,34359738369
4096,11.62,4405574092,4348949278,34359738369
6144,39.501,14872980396,15065232205,115964116993
6144,41.367,14874458561,15316340604,115964116993
8192,95.493,35265598633,36292817495,274877906945
8192,96.034,35207572052,38283760400,274877906945
10240,190.793,68714154232,96906203985,536870912001
10240,188.516,68733148136,94520146190,536870912001
