size,time
600,0.410
600,0.239
1000,1.678
1000,1.519
1400,4.548
1400,5.239
1800,19.370
1800,18.651
2200,39.652
2200,39.527
2600,69.829
2600,69.530
3000,114.852
3000,114.868
