size,time,l1,l2,flops
4096,38.282,1328580514,2911000612,17202133006
4096,39.039,1335762223,2899537938,17201145377
6144,120.715,4307833416,8972187400,58033834264
6144,118.83,4291915128,8833516044,58028985117
8192,269.521,9621131630,17212598968,137521253148
8192,251.058,9638885113,17267372856,137522677194
10240,488.208,18949958673,32021341566,94822013897272
10240,493.182,18864546719,31530836099,94822013897272
