size,time
600,0.231
600,0.241
1000,1.723
1000,1.465
1400,4.655
1400,4.690
1800,18.963
1800,19.239
2200,39.110
2200,39.073
2600,69.089
2600,69.353
3000,114.479
3000,114.842
